Gene_Symbol,Gene_Name,Gene_MIM_ID,Entrez_Gene_ID,Phenotype_MIM_IDs,Phenotype_Titles,Evidence_Layers,Mechanism_Tags,UltraStrict_Direct,Recommended_Primary,Recommended_Extended_Sensitivity,Hemorrhagic_Flag,Venous_Predominant_Flag,Gene_Entry_Present_In_Export,Evidence_URLs
F5,Coagulation factor V,612309,2153,601367;188055,"STROKE, ISCHEMIC | THROMBOPHILIA DUE TO ACTIVATED PROTEIN C RESISTANCE; THPH2",UltraStrict_Direct_AIS;Extended_Etiologic,direct_ischemic;thrombophilia,true,true,true,false,true,true,https://www.ncbi.nlm.nih.gov/medgen/215292;https://www.ncbi.nlm.nih.gov/gene/2153
ACTA2,"Actin alpha 2, smooth muscle",102620,59,613834;614042,SMOOTH MUSCLE DYSFUNCTION SYNDROME; SMDYS | MOYAMOYA DISEASE 5; MYMY5,Extended_Etiologic,arteriopathy;moyamoya,false,false,true,true,false,true,https://www.ncbi.nlm.nih.gov/gene/59
ADA2,Adenosine deaminase 2,607575,51816,615688,"VASCULITIS, AUTOINFLAMMATION, IMMUNODEFICIENCY, AND HEMATOLOGIC DEFECTS SYNDROME; VAIHS",Extended_Etiologic,vasculitis,false,false,true,true,false,true,https://www.ncbi.nlm.nih.gov/gene/51816
ADAMTS13,ADAM metallopeptidase with thrombospondin type 1 motif 13,604134,11093,274150,"THROMBOTIC THROMBOCYTOPENIC PURPURA, HEREDITARY; TTP",Extended_Etiologic,microangiopathy,false,false,true,false,false,true,https://www.ncbi.nlm.nih.gov/gene/11093
ANO1,Anoctamin 1,610108,55107,620687,MOYAMOYA DISEASE 7; MYMY7,Extended_Etiologic,moyamoya,false,false,true,true,false,false,https://www.ncbi.nlm.nih.gov/medgen/1851566
BRCC3,BRCA1/BRCA2-containing complex subunit 3,300617,79184,300845,"MOYAMOYA DISEASE 4 WITH SHORT STATURE, HYPERGONADOTROPIC HYPOGONADISM, AND FACIAL DYSMORPHISM; MYMY4",Extended_Etiologic,moyamoya,false,false,true,true,false,false,https://www.ncbi.nlm.nih.gov/gene/79184
CBS,Cystathionine beta-synthase,613381,875,236200,HOMOCYSTINURIA DUE TO CYSTATHIONINE BETA-SYNTHASE DEFICIENCY,Extended_Etiologic,metabolic_thrombosis,false,false,true,false,false,true,https://www.ncbi.nlm.nih.gov/gene/875
COL4A1,Collagen type IV alpha 1 chain,120130,1282,175780;611773,"BRAIN SMALL VESSEL DISEASE 1 WITH OR WITHOUT OCULAR ANOMALIES; BSVD1 | ANGIOPATHY, HEREDITARY, WITH NEPHROPATHY, ANEURYSMS, AND MUSCLE CRAMPS; HANAC",Extended_Etiologic,mixed_small_vessel,false,false,true,true,false,true,https://www.ncbi.nlm.nih.gov/books/NBK7046/
CTSA,Cathepsin A,613111,5476,621394,BRAIN SMALL VESSEL DISEASE 6 WITH LEUKOENCEPHALOPATHY; BSVD6,Extended_Etiologic,mixed_small_vessel,false,false,true,true,false,true,https://www.ncbi.nlm.nih.gov/medgen/1055914
GLA,Galactosidase alpha,300644,2717,301500,FABRY DISEASE,Extended_Etiologic,metabolic_vasculopathy,false,false,true,false,false,true,https://www.ncbi.nlm.nih.gov/gene/2717
GUCY1A1,Guanylate cyclase 1 soluble subunit alpha 1,139396,2982,615750,MOYAMOYA DISEASE 6 WITH OR WITHOUT ACHALASIA; MYMY6,Extended_Etiologic,moyamoya,false,false,true,true,false,true,https://www.ncbi.nlm.nih.gov/medgen/816733
HBB,Hemoglobin subunit beta,141900,3043,603903,SICKLE CELL DISEASE,Extended_Etiologic,hematologic,false,false,true,false,false,true,https://www.ncbi.nlm.nih.gov/gene/3043
MMACHC,Metabolism of cobalamin associated C,609831,25974,277400,"METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblC TYPE; MAHCC",Extended_Etiologic,metabolic_thrombosis,false,false,true,false,false,false,https://www.ncbi.nlm.nih.gov/gene/25974
MTHFR,Methylenetetrahydrofolate reductase,607093,4524,236250,"HOMOCYSTINURIA DUE TO DEFICIENCY OF N(5,10)-METHYLENETETRAHYDROFOLATE REDUCTASE ACTIVITY",Extended_Etiologic,metabolic_thrombosis,false,false,true,false,false,true,https://www.ncbi.nlm.nih.gov/gene/4524
NIT1,Nitrilase 1,604618,4817,621313,BRAIN SMALL VESSEL DISEASE 4; BSVD4,Extended_Etiologic,mixed_small_vessel,false,false,true,true,false,false,https://www.ncbi.nlm.nih.gov/gene/4817
NOS3,Nitric oxide synthase 3,163729,4846,621469,MOYAMOYA DISEASE 8; MYMY8,Extended_Etiologic,moyamoya,false,false,true,true,false,true,https://www.ncbi.nlm.nih.gov/gene/4846
PDE3A,Phosphodiesterase 3A,123805,5139,112410,HYPERTENSION AND BRACHYDACTYLY SYNDROME; HTNB,Extended_Etiologic,upstream_hypertension,false,false,true,false,false,false,https://www.ncbi.nlm.nih.gov/gene/5139
PROC,Protein C,612283,5624,176860,"THROMBOPHILIA DUE TO PROTEIN C DEFICIENCY, AUTOSOMAL DOMINANT; THPH3",Extended_Etiologic,thrombophilia,false,false,true,false,true,true,https://www.ncbi.nlm.nih.gov/gene/5624
PROS1,Protein S,176880,5627,612336,"THROMBOPHILIA DUE TO PROTEIN S DEFICIENCY, AUTOSOMAL DOMINANT; THPH5",Extended_Etiologic,thrombophilia,false,false,true,false,true,true,https://www.ncbi.nlm.nih.gov/gene/5627
RNF213,Ring finger protein 213,613768,57674,607151,MOYAMOYA DISEASE 2; MYMY2,Extended_Etiologic,moyamoya,false,false,true,true,false,true,https://www.ncbi.nlm.nih.gov/medgen/339584
SERPINC1,Serpin family C member 1,107300,462,613118,ANTITHROMBIN III DEFICIENCY; AT3D,Extended_Etiologic,thrombophilia,false,false,true,false,true,false,https://www.ncbi.nlm.nih.gov/gene/462
THBD,Thrombomodulin,188040,7056,614486,THROMBOPHILIA DUE TO THROMBOMODULIN DEFECT; THPH12,Extended_Etiologic,thrombophilia,false,false,true,false,true,true,https://www.ncbi.nlm.nih.gov/gene/7056
TREX1,Three prime repair exonuclease 1,606609,11277,192315,"VASCULOPATHY, RETINAL, WITH CEREBRAL LEUKOENCEPHALOPATHY AND SYSTEMIC MANIFESTATIONS; RVCLS",Extended_Etiologic,systemic_microvasculopathy,false,false,true,true,false,true,https://www.ncbi.nlm.nih.gov/gene/11277
