Source,Input_File,Selection_Criterion,Unique_Genes,Role,SHA256
GeneCards strict,2_GeneCards/GeneCards_AIS_strict_score_ge5_protein_coding.csv,Relevance Score ≥ 5; protein-coding,22,Strict,1fd95d9c4359f58303f8e61d5b7a923864c50011ee478978cc0e35be14bbdf37
GeneCards main,2_GeneCards/GeneCards_AIS_main_score_ge3_protein_coding.csv,Relevance Score ≥ 3; protein-coding,76,Primary and medium,6971ea425c6d474c9d1b03d06e126192f5e5465fe58c90a3c46019b26aacd1bb
GeneCards broad,2_GeneCards/GeneCards_AIS_broad_score_ge0.9_protein_coding.csv,Relevance Score ≥ 0.9; protein-coding,383,Broad sensitivity,cc857807fb2f21d9742cd75822d588613d3fc513317083f1aefe6b4e946b61cc
OMIM ultra-strict,2_OMIM/OMIM_AIS_ultrastrict_direct_gene_targets.csv,Direct ischemic-stroke phenotype link,3,Strict,df453316ea68943280a16428f23acb5bf8d26eb05291402dd804d328669d5495
OMIM primary,2_OMIM/OMIM_AIS_primary_gene_targets.csv,Curated primary AIS/adult monogenic arteriopathy genes,6,Primary,5c8e8543fa264f2899e18fd0fb053c65ad1d4dbb7debe6a8686540124e6ea111
OMIM primary+extended,2_OMIM/OMIM_AIS_primary_plus_extended_gene_symbols_for_sensitivity.txt,Curated primary plus etiologic sensitivity genes,28,Medium and broad,c22803868b7643518326c3ac8dbd23ddd2237e8c638195212580ce01243b9632
DisGeNET primary,2_DisGenET/DisGeNET_AIS_primary_raw_score_ge_0.30.csv,Exact AIS C5392833; raw GDA ≥ 0.30; protein-coding,11,Strict and primary,1b34c1d0434697953cbec7103b48f761f53cf7832294ef47bb7db4d3be5dd404
DisGeNET conservative,2_DisGenET/DisGeNET_AIS_sensitivity_conservative_EI_ge_0.80.csv,Human-literature eligible; EI ≥ 0.80,123,Medium,1d01bede425d9ce3823388ced8825674e451f2827e6f24f49a461b1ef688fd4c
DisGeNET human literature,2_DisGenET/DisGeNET_AIS_sensitivity_human_literature.csv,Human-literature sensitivity set; protein-coding,140,Broad,5cccac715bc0145df77bc49bafeb9fb0b317f93527b2e14d9318cc18d816cb1b
