Check_ID,Check,Expected,Observed,Status,Details
INPUT_drug_strict_COUNT,Bilobalide Strict_25 unique count,25,25,PASS,
INPUT_drug_strict_CLEAN,Bilobalide Strict_25 duplicate/blank/format QC,0 anomalies,0,PASS,
INPUT_drug_recommended_COUNT,Bilobalide Recommended_42 unique count,42,42,PASS,
INPUT_drug_recommended_CLEAN,Bilobalide Recommended_42 duplicate/blank/format QC,0 anomalies,0,PASS,
INPUT_drug_extended_COUNT,Bilobalide Extended_171 unique count,171,171,PASS,
INPUT_drug_extended_CLEAN,Bilobalide Extended_171 duplicate/blank/format QC,0 anomalies,0,PASS,
INPUT_disease_strict_COUNT,AIS Strict_28 unique count,28,28,PASS,
INPUT_disease_strict_CLEAN,AIS Strict_28 duplicate/blank/format QC,0 anomalies,0,PASS,
INPUT_disease_primary_COUNT,AIS Primary_81 unique count,81,81,PASS,
INPUT_disease_primary_CLEAN,AIS Primary_81 duplicate/blank/format QC,0 anomalies,0,PASS,
INPUT_disease_medium_COUNT,AIS MediumExtended_176 unique count,176,176,PASS,
INPUT_disease_medium_CLEAN,AIS MediumExtended_176 duplicate/blank/format QC,0 anomalies,0,PASS,
INPUT_disease_broad_COUNT,AIS BroadSensitivity_430 unique count,430,430,PASS,
INPUT_disease_broad_CLEAN,AIS BroadSensitivity_430 duplicate/blank/format QC,0 anomalies,0,PASS,
NEST_DRUG_1,Drug Strict_25 subset of Recommended_42,True,True,PASS,
NEST_DRUG_2,Drug Recommended_42 subset of Extended_171,True,True,PASS,
NEST_AIS_1,AIS Strict_28 subset of Primary_81,True,True,PASS,
NEST_AIS_2,AIS Primary_81 subset of MediumExtended_176,True,True,PASS,
NEST_AIS_3,AIS MediumExtended_176 subset of BroadSensitivity_430,True,True,PASS,
INTERSECTION_strict_COUNT,L1_Strict intersection count,1,1,PASS,NFKB1
INTERSECTION_strict_GENES,L1_Strict exact gene identity,NFKB1,NFKB1,PASS,
INTERSECTION_primary_COUNT,L2_Primary intersection count,2,2,PASS,HIF1A;NFKB1
INTERSECTION_primary_GENES,L2_Primary exact gene identity,HIF1A;NFKB1,HIF1A;NFKB1,PASS,
INTERSECTION_medium_COUNT,L3_MediumExtended intersection count,6,6,PASS,F2;HIF1A;NFE2L2;NFKB1;SIRT1;TNF
INTERSECTION_medium_GENES,L3_MediumExtended exact gene identity,F2;HIF1A;NFE2L2;NFKB1;SIRT1;TNF,F2;HIF1A;NFE2L2;NFKB1;SIRT1;TNF,PASS,
INTERSECTION_exploratory_COUNT,L4_BroadExploratory intersection count,16,16,PASS,CTNNB1;F2;F2R;HIF1A;IL2;MIF;MYLK;NFE2L2;NFKB1;RELA;SIRT1;SIRT6;SLC5A2;SLCO1B1;SRC;TNF
INTERSECTION_exploratory_GENES,L4_BroadExploratory exact gene identity,CTNNB1;F2;F2R;HIF1A;IL2;MIF;MYLK;NFE2L2;NFKB1;RELA;SIRT1;SIRT6;SLC5A2;SLCO1B1;SRC;TNF,CTNNB1;F2;F2R;HIF1A;IL2;MIF;MYLK;NFE2L2;NFKB1;RELA;SIRT1;SIRT6;SLC5A2;SLCO1B1;SRC;TNF,PASS,
NEST_INTERSECTION_1,L1 subset of L2,True,True,PASS,
NEST_INTERSECTION_2,L2 subset of L3,True,True,PASS,
NEST_INTERSECTION_3,L3 subset of L4,True,True,PASS,
EVIDENCE_ROWS,Evidence master row and unique-symbol count,16 rows / 16 unique,16 rows / 16 unique,PASS,
EVIDENCE_JOIN,Every L4 gene has one drug and one disease master record,16,16,PASS,
CORE_ANCHOR,Core_Anchor equals prespecified L2 primary overlap,HIF1A;NFKB1,HIF1A;NFKB1,PASS,
FROZEN_HASHES,All frozen copies match source SHA256,9,9,PASS,
